Div,Date,HomeTeam,AwayTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Time
primera,2000-03-05,Malaga,La Coruna,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-05,Mallorca,Zaragoza,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-05,Sevilla,Valladolid,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-03-05,Sociedad,Espanol,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-05,Vallecano,Alaves,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-03-11,Ath Bilbao,Barcelona,0.0,2.0,A,,,,,,,,,,,,,
primera,2000-03-11,Betis,Vallecano,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-11,Real Madrid,Sevilla,3.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-12,Alaves,Sociedad,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-03-12,Espanol,Celta,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-03-12,La Coruna,Valencia,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-12,Malaga,Mallorca,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-03-12,Numancia,Oviedo,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-03-12,Santander,Zaragoza,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-12,Valladolid,Ath Madrid,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-18,Ath Madrid,Real Madrid,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-03-18,Barcelona,La Coruna,2.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-18,Valencia,Malaga,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-03-19,Celta,Alaves,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-03-19,Mallorca,Santander,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-03-19,Oviedo,Ath Bilbao,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-19,Sevilla,Numancia,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-19,Sociedad,Betis,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-03-19,Vallecano,Valladolid,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-19,Zaragoza,Espanol,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-25,Alaves,Zaragoza,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-03-25,Ath Bilbao,Sevilla,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-25,Espanol,Santander,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-03-25,Malaga,Barcelona,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-25,Numancia,Ath Madrid,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-25,Real Madrid,Vallecano,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-03-25,Valencia,Mallorca,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-03-25,Valladolid,Sociedad,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-03-26,Betis,Celta,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-03-26,La Coruna,Oviedo,2.0,0.0,H,,,,,,,,,,,,,
